season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
1954-1955,Warriors,93.22,,,,,,,,23.72,33.21,40.75,0.36,,,,26.81,40.29,0.68,-0.26
1955-1956,Celtics,105.83,,,,,,,,25.66,38.11,89.2,0.4,,,,29.42,38.77,0.77,1.05
1955-1956,Hawks,96.2,,,,,,,,27.59,34.42,91.38,0.39,,,,27.59,39.05,0.72,-2.4
1955-1956,Knicks,99.85,,,,,,,,26.71,34.73,87.5,0.34,,,,30.62,41.71,0.77,-0.48
1955-1956,Lakers,100.18,,,,,,,,27.86,35.37,87.4,0.39,,,,29.05,37.65,0.78,0.27
1955-1956,Nationals,97.17,,,,,,,,25.23,34.38,84.0,0.33,,,,28.58,37.42,0.77,-0.29
1955-1956,Pistons,94.17,,,,,,,,24.43,33.2,84.0,0.37,,,,27.78,38.07,0.73,0.98
1955-1956,Royals,95.83,,,,,,,,27.58,35.42,92.0,0.36,,,,25.0,34.75,0.71,-2.59
1955-1956,Warriors,103.29,,,,,,,,26.62,36.72,77.5,0.42,,,,29.85,39.4,0.75,4.5
1956-1957,Celtics,106.29,,,,65.0,,,,26.09,39.22,113.33,0.36,,,,27.85,39.2,0.76,5.59
1956-1957,Hawks,100.68,31.0,,,67.1,,,,26.27,36.14,101.0,0.39,,,,28.39,41.12,0.73,-0.1
1956-1957,Knicks,100.76,,,,38.0,,,,25.31,35.68,81.5,0.4,,,,29.4,42.5,0.72,-0.14
1956-1957,Lakers,103.37,17.0,,,62.33,,,,26.47,36.31,104.5,0.33,,,,30.76,40.79,0.78,-0.68
1956-1957,Nationals,99.27,,,,,,,,25.27,35.23,94.0,0.35,,,,28.81,36.08,0.81,-1.56
1956-1957,Pistons,97.01,,,,52.0,,,,22.75,35.43,92.0,0.36,,,,26.16,40.4,0.73,-2.45
1956-1957,Royals,93.44,,,,,,,,25.65,34.94,,,,,,23.56,32.27,0.73,-1.92
1956-1957,Warriors,100.08,,,,,,,,24.01,35.86,,,,,,28.35,35.2,0.78,1.3
1957-1958,Celtics,109.54,,,,90.0,,,,24.23,41.29,108.4,0.36,,,,26.95,37.17,0.78,5.53
1957-1958,Hawks,107.73,,,,64.0,,,,26.59,38.6,98.92,0.4,,,,30.53,45.65,0.7,1.47
1957-1958,Knicks,112.06,,,,95.0,,,,25.68,40.04,97.0,0.41,,,,31.97,43.5,0.75,1.54
1957-1958,Lakers,105.08,,,,,,,,27.51,36.94,,,,,,31.19,35.67,0.7,-6.38
1957-1958,Nationals,106.51,,,,,,,,25.01,38.91,103.0,0.37,,,,28.69,34.83,0.8,2.27
1957-1958,Pistons,105.34,,,,,,,,25.23,37.99,97.8,0.36,,,,29.37,40.33,0.77,-2.23
1957-1958,Royals,101.61,,,,,,,,25.47,39.0,,,,,,23.47,33.89,0.72,-1.69
1957-1958,Warriors,103.26,,,,,,,,24.44,38.15,91.0,0.41,,,,26.98,34.78,0.79,0.42
1958-1959,Celtics,117.29,,,,74.0,,,,24.92,44.86,101.0,0.37,,,,27.58,35.0,0.77,7.36
1958-1959,Hawks,108.69,,,,61.0,,,,26.53,39.92,93.44,0.43,,,,28.87,37.86,0.77,4.3
1958-1959,Knicks,110.55,,,,,,,,26.62,39.91,90.0,0.37,,,,30.74,37.89,0.79,-0.05
1958-1959,Lakers,105.93,19.0,,,51.5,,,,26.43,38.75,98.0,0.41,,,,28.42,37.14,0.77,-1.93
1958-1959,Nationals,113.96,26.0,,,64.5,,,,27.35,42.33,118.0,0.38,,,,29.3,38.11,0.81,3.96
1958-1959,Pistons,104.97,,,,61.0,,,,26.52,38.97,107.33,0.39,,,,27.03,34.93,0.76,-1.43
1958-1959,Royals,103.07,,,,59.0,,,,25.64,39.64,95.33,0.41,,,,23.79,35.0,0.74,-8.69
1958-1959,Warriors,103.26,14.5,,,53.0,,,,24.67,39.25,96.25,0.35,,,,24.76,32.76,0.72,-3.0
1959-1960,Celtics,122.82,,,,64.0,,,,24.96,48.91,108.67,0.4,,,,24.55,33.34,0.74,7.94
1959-1960,Hawks,112.2,47.0,,,63.32,,,,26.52,41.98,102.54,0.43,0.0,0.0,,28.37,37.48,0.75,2.31
1959-1960,Knicks,117.33,,,,54.0,,,,26.38,45.72,103.33,0.44,0.0,0.0,,25.89,34.86,0.77,-2.31
1959-1960,Lakers,106.93,,,,49.82,,,,25.54,40.39,93.25,0.66,,,,26.04,35.67,0.74,-3.98
1959-1960,Nationals,118.54,,,,55.5,,,,25.88,45.29,103.25,0.43,,,,28.04,34.54,0.8,2.05
1959-1960,Pistons,111.4,,,,61.25,,,,26.25,41.86,106.0,0.37,,,,27.69,36.11,0.76,-3.55
1959-1960,Royals,111.11,,,,65.71,,,,27.97,42.8,99.71,0.41,,,,25.51,35.85,0.71,-6.11
1959-1960,Warriors,118.1,,,,69.71,,,,23.33,47.12,136.83,0.33,,,,23.86,36.65,0.67,2.84
1960-1961,Celtics,119.85,17.58,,0.0,56.6,0.0,0.0,0.0,25.22,46.63,113.28,0.58,0.0,0.0,,26.33,35.56,0.73,6.98
1960-1961,Hawks,117.87,7.21,,0.0,59.18,0.0,0.0,0.0,26.81,45.5,111.16,0.41,0.0,0.0,,27.17,36.13,0.75,2.41
1960-1961,Knicks,113.66,5.83,,0.0,48.92,0.0,0.0,0.0,27.44,43.33,100.5,0.43,0.0,0.0,,27.03,36.16,0.76,-6.42
1960-1961,Lakers,114.4,7.7,,0.0,53.0,0.0,0.0,0.0,25.0,43.28,99.33,0.46,0.0,0.0,,28.09,37.76,0.73,0.39
1960-1961,Nationals,120.34,17.08,,0.0,59.47,0.0,0.0,0.0,26.16,45.64,102.47,0.55,0.0,0.0,,28.71,36.08,0.78,1.74
1960-1961,Pistons,118.54,13.5,,0.0,60.82,0.0,0.0,0.0,26.25,44.05,108.31,0.41,0.0,0.0,,30.44,40.56,0.75,-2.2
1960-1961,Royals,117.87,9.62,,0.0,62.27,0.0,0.0,0.0,23.55,45.91,103.57,0.45,0.0,0.0,,26.29,34.37,0.75,-3.46
1960-1961,Warriors,120.51,14.75,,0.0,59.42,0.0,0.0,0.0,23.86,47.43,113.54,0.41,0.0,0.0,,25.52,39.56,0.64,0.76
1961-1962,Celtics,120.17,30.0,,,58.6,,,,23.85,47.66,107.6,0.44,0.0,0.0,,24.85,35.11,0.73,8.59
1961-1962,Hawks,118.85,,,,60.2,,,,27.3,45.48,104.83,0.43,0.0,0.0,,28.06,36.29,0.77,-3.28
1961-1962,Knicks,114.84,17.0,,,59.0,,,,26.44,46.72,104.25,0.46,0.0,0.0,,24.01,33.6,0.72,-4.62
1961-1962,Lakers,118.41,25.0,,,59.55,,,,25.25,44.04,99.09,0.46,0.0,0.0,,30.17,39.04,0.74,2.29
1961-1962,Nationals,119.46,,,,63.67,,,,28.68,45.81,108.0,0.36,0.0,0.0,,27.84,35.89,0.78,1.81
1961-1962,Packers,110.92,,,,67.0,,,,25.08,42.75,110.0,0.31,,,,24.46,35.62,0.67,-8.14
1961-1962,Pistons,115.41,,,,61.4,,,,25.11,43.53,105.6,0.45,0.0,0.0,,28.34,38.44,0.73,-1.84
1961-1962,Royals,122.79,,,,65.75,,,,26.27,47.5,106.25,0.45,0.0,0.0,,27.79,36.8,0.76,1.79
1961-1962,Warriors,122.91,39.0,,,58.4,,,,24.94,47.65,106.6,0.47,,,,27.61,39.93,0.7,2.59
1962-1963,Celtics,118.7,33.0,,,73.0,,,,27.64,46.61,122.5,0.41,,,,25.45,33.5,0.78,6.47
1962-1963,Hawks,109.74,,,,54.67,,,,26.26,41.88,99.67,0.39,,,,25.71,31.12,0.72,1.74
1962-1963,Knicks,110.46,,,,,,,,26.38,42.91,,,,,,24.64,33.6,0.72,-7.06
1962-1963,Lakers,115.17,,,,57.14,,,,22.5,43.45,97.57,0.48,,,,28.35,33.23,0.76,3.26
1962-1963,Nationals,121.58,,,,,,,,28.45,45.72,,,,,,29.44,40.2,0.81,3.31
1962-1963,Pistons,113.4,18.0,,,,,,,32.82,43.9,94.0,0.5,,,,25.6,41.0,0.71,-3.92
1962-1963,Royals,119.36,,,,58.0,,,,28.32,45.64,105.0,0.43,,,,28.08,38.57,0.79,0.91
1962-1963,Warriors,118.5,,,,50.33,,,,27.94,47.52,102.67,0.46,,,,23.45,34.71,0.65,-2.09
1962-1963,Zephyrs,109.94,,,,57.0,,,,27.0,42.11,94.0,0.33,,,,25.71,38.33,0.73,-3.86
1963-1964,76ers,112.21,23.0,,,43.0,,,,77.5,42.33,84.0,0.48,,,,27.54,35.68,0.78,-4.23
1963-1964,Bullets,111.85,22.0,,,51.33,,,,26.67,43.2,92.0,0.47,,,,25.45,37.1,0.69,-1.79
1963-1964,Celtics,111.96,,,,62.5,,,,28.5,44.67,108.0,0.38,,,,22.62,31.35,0.72,7.71
1963-1964,Hawks,109.46,30.0,,,52.5,,,,70.25,41.2,95.5,0.42,,,,26.36,34.92,0.76,1.59
1963-1964,Knicks,112.2,,,,55.0,,,,22.0,43.88,98.0,0.43,,,,24.4,35.44,0.69,-6.01
1963-1964,Lakers,109.18,28.33,,,50.83,,,,36.5,40.71,89.17,0.48,,,,27.92,36.32,0.77,0.62
