season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
2012-2013,Spurs,102.42,24.49,33.01,8.53,41.54,8.37,5.33,14.5,17.87,38.85,81.49,0.48,7.98,21.44,0.37,16.73,21.42,0.78,6.55
2012-2013,Suns,95.34,22.76,30.1,11.74,41.84,8.08,5.37,15.78,20.57,37.39,84.36,0.44,5.96,17.81,0.33,14.6,19.74,0.74,-5.58
2012-2013,Thunder,104.5,21.21,33.04,10.52,43.56,8.03,7.42,15.18,20.86,37.8,79.85,0.47,7.47,19.99,0.37,21.43,25.91,0.83,7.98
2012-2013,Timberwolves,95.27,22.17,30.34,11.8,42.14,8.66,4.74,15.07,18.69,35.62,81.16,0.44,5.47,18.0,0.3,18.56,25.11,0.74,-0.94
2012-2013,Trail Blazers,97.6,21.61,30.12,10.74,40.87,6.67,4.35,15.07,18.82,36.6,81.74,0.45,8.24,23.37,0.35,16.17,20.71,0.78,-2.89
2012-2013,Warriors,100.95,22.36,34.08,10.76,44.84,6.94,4.35,15.48,21.9,38.17,83.09,0.46,8.07,20.06,0.4,16.54,21.44,0.77,1.1
2012-2013,Wizards,93.43,21.62,32.18,11.11,43.29,7.32,4.41,15.19,20.91,35.44,81.93,0.43,6.73,18.54,0.36,15.81,21.5,0.74,-2.62
2013-2014,76ers,99.17,21.82,31.31,11.62,42.93,9.38,4.11,17.14,22.7,37.61,87.1,0.43,7.06,22.62,0.31,16.89,23.84,0.71,-10.27
2013-2014,Bobcats,96.04,21.35,33.14,9.57,42.71,6.2,5.14,12.7,18.21,35.8,81.35,0.44,6.27,18.01,0.34,18.18,24.84,0.73,0.13
2013-2014,Bucks,95.1,21.33,29.39,11.62,41.01,6.69,5.01,15.47,21.27,35.69,81.56,0.44,6.68,18.77,0.36,17.03,22.95,0.74,-7.78
2013-2014,Bulls,93.72,22.41,32.86,11.51,44.37,7.17,5.19,15.05,19.79,34.43,79.73,0.43,6.17,17.76,0.35,18.68,24.15,0.78,2.74
2013-2014,Cavaliers,97.67,21.23,32.04,12.23,44.28,7.21,3.78,14.8,20.71,36.59,84.46,0.43,7.04,19.98,0.35,17.44,23.18,0.75,-3.16
2013-2014,Celtics,96.07,21.04,30.36,11.92,42.28,7.34,4.23,15.51,21.53,36.36,83.74,0.44,6.99,21.28,0.32,16.37,21.04,0.79,-4.13
2013-2014,Clippers,107.32,24.41,31.86,10.44,42.3,8.7,4.86,13.91,22.26,38.82,82.58,0.47,8.49,24.04,0.35,21.2,28.99,0.73,6.06
2013-2014,Grizzlies,95.54,21.71,30.79,11.57,42.36,7.86,4.33,13.86,19.55,37.49,82.12,0.46,4.88,14.24,0.34,15.69,21.39,0.73,0.3
2013-2014,Hawks,99.36,24.09,31.22,8.62,39.84,8.28,4.08,15.52,19.41,36.43,80.96,0.45,9.28,26.08,0.35,17.23,22.03,0.78,-1.24
2013-2014,Heat,100.68,21.65,28.82,7.36,36.18,8.83,4.26,14.48,20.05,37.51,75.61,0.5,8.35,22.53,0.37,17.31,22.92,0.76,3.83
2013-2014,Jazz,94.72,20.36,30.49,11.17,41.66,6.96,4.56,14.92,21.03,35.83,81.39,0.44,6.61,19.08,0.35,16.44,22.23,0.74,-6.81
2013-2014,Kings,100.43,19.12,32.56,11.97,44.53,7.3,3.75,15.36,22.47,36.83,82.38,0.45,6.15,18.25,0.33,20.62,27.26,0.76,-2.22
2013-2014,Knicks,98.37,19.84,29.7,10.71,40.4,7.64,4.54,13.07,22.29,36.82,82.54,0.45,9.19,24.93,0.37,15.54,20.51,0.76,-1.22
2013-2014,Lakers,102.37,24.22,32.01,9.02,41.03,7.36,5.3,15.47,19.99,37.84,84.81,0.45,9.36,24.86,0.37,17.32,22.77,0.76,-5.87
2013-2014,Magic,96.46,20.88,32.27,10.03,42.3,7.73,4.5,15.41,20.86,36.87,82.78,0.45,6.83,19.54,0.35,15.89,20.94,0.76,-5.34
2013-2014,Mavericks,103.47,23.28,30.6,10.33,40.93,8.43,4.51,13.7,20.19,39.26,83.84,0.47,8.61,22.59,0.38,16.35,20.72,0.78,2.05
2013-2014,Nets,98.26,20.66,29.35,9.13,38.48,8.51,3.77,14.77,22.16,35.57,77.5,0.46,8.5,23.36,0.36,18.6,25.0,0.75,-0.31
2013-2014,Nuggets,103.39,22.25,33.19,12.33,45.52,7.51,5.58,16.18,23.45,38.1,85.89,0.44,8.22,23.36,0.35,18.97,26.37,0.72,-2.52
2013-2014,Pacers,95.72,19.8,33.67,9.83,43.5,6.75,5.2,14.91,20.72,35.3,79.06,0.45,6.84,19.03,0.36,18.27,23.89,0.77,3.51
2013-2014,Pelicans,99.83,21.11,30.22,11.17,41.39,8.17,6.21,14.26,22.93,37.68,82.01,0.46,6.07,15.97,0.38,18.41,23.87,0.77,-1.66
2013-2014,Pistons,100.46,20.82,31.0,14.25,45.25,8.42,4.79,15.02,20.64,38.31,85.91,0.45,6.27,19.34,0.32,17.56,26.06,0.67,-3.36
2013-2014,Raptors,101.02,20.73,31.43,11.26,42.69,6.98,4.08,14.7,23.5,36.1,80.91,0.45,8.4,23.02,0.36,20.42,25.89,0.79,3.21
2013-2014,Rockets,107.87,21.39,34.08,11.62,45.71,7.63,5.57,16.13,21.18,38.19,81.32,0.47,9.51,26.69,0.35,21.99,30.73,0.72,4.73
2013-2014,Spurs,105.36,24.57,33.81,9.23,43.04,7.53,4.72,14.24,18.68,40.23,82.86,0.49,8.57,21.41,0.4,16.34,20.92,0.78,7.37
2013-2014,Suns,104.67,19.16,31.84,11.39,43.23,8.38,4.62,15.66,22.15,38.68,83.64,0.46,9.19,24.84,0.37,18.11,24.17,0.74,2.69
2013-2014,Thunder,104.91,21.41,33.9,10.92,44.81,7.94,6.15,15.46,22.79,38.27,82.27,0.47,7.85,22.44,0.35,20.51,25.44,0.8,5.06
2013-2014,Timberwolves,106.72,23.62,32.25,12.52,44.77,8.74,3.7,14.01,18.64,38.61,87.19,0.44,7.47,21.57,0.34,22.02,28.4,0.78,3.07
2013-2014,Trail Blazers,105.67,22.32,34.2,12.36,46.56,5.57,4.89,14.29,19.94,38.63,86.52,0.45,9.04,24.73,0.36,19.37,23.98,0.81,3.16
2013-2014,Warriors,103.54,23.35,33.97,11.1,45.07,8.01,4.99,15.55,22.31,39.08,85.39,0.46,9.33,24.73,0.38,16.04,21.47,0.75,4.0
2013-2014,Wizards,99.1,22.71,31.61,10.93,42.54,8.27,4.76,14.79,20.69,37.93,83.68,0.45,7.62,20.59,0.37,15.62,21.55,0.72,1.76
2014-2015,76ers,92.11,20.54,31.12,11.76,42.88,9.68,5.88,18.01,21.89,33.76,82.32,0.41,8.2,25.77,0.31,16.4,24.24,0.68,-8.68
2014-2015,Bucks,97.06,23.25,31.49,10.85,42.35,9.52,5.02,16.74,22.49,37.11,82.09,0.45,6.62,18.42,0.36,16.23,21.6,0.75,-0.64
2014-2015,Bulls,100.04,21.66,34.02,11.67,45.69,6.46,5.92,14.2,18.77,36.17,82.72,0.44,8.03,22.64,0.35,19.68,25.16,0.78,2.97
2014-2015,Cavaliers,102.44,21.37,32.4,11.37,43.77,7.11,4.57,14.15,19.18,37.1,82.21,0.45,10.05,27.7,0.36,18.19,24.26,0.75,4.26
2014-2015,Celtics,100.84,24.18,32.64,10.96,43.6,8.29,3.57,14.18,21.48,38.4,87.17,0.44,8.13,24.86,0.33,15.9,21.1,0.76,0.55
2014-2015,Clippers,106.3,24.3,32.93,9.46,42.39,8.13,4.96,12.77,22.0,39.04,83.37,0.47,9.8,26.62,0.36,18.42,26.28,0.7,4.72
2014-2015,Grizzlies,97.77,21.36,31.95,10.47,42.42,8.62,4.29,13.31,19.43,37.34,82.45,0.45,5.1,15.16,0.33,17.99,23.26,0.78,2.41
2014-2015,Hawks,101.76,25.43,32.29,8.9,41.19,8.84,4.7,14.2,18.5,37.7,82.11,0.46,9.8,26.59,0.37,16.57,21.36,0.77,4.35
2014-2015,Heat,95.48,19.83,30.06,9.07,39.12,8.14,4.57,14.93,20.21,35.28,77.27,0.46,6.92,20.53,0.34,18.0,24.24,0.74,-2.44
2014-2015,Hornets,94.22,20.37,34.11,9.94,44.06,6.13,5.47,12.04,18.79,35.46,84.58,0.42,6.12,19.29,0.31,17.19,22.86,0.75,-3.18
2014-2015,Jazz,95.73,20.04,32.27,11.94,44.21,7.58,5.82,15.73,19.74,35.46,79.03,0.45,7.47,21.64,0.35,17.36,24.14,0.72,0.94
2014-2015,Kings,101.38,20.25,33.14,10.88,44.01,6.75,4.0,16.44,20.9,36.56,80.23,0.46,5.62,16.34,0.34,22.64,29.88,0.76,-3.45
2014-2015,Knicks,91.76,21.24,29.71,10.61,40.31,7.2,4.58,14.98,21.82,35.01,81.8,0.43,6.83,19.91,0.35,14.91,19.36,0.77,-8.29
2014-2015,Lakers,98.1,21.0,32.02,11.54,43.57,7.21,4.51,13.48,21.76,37.17,85.36,0.44,6.19,18.09,0.33,17.58,23.74,0.74,-7.1
2014-2015,Magic,95.64,20.69,32.03,10.13,42.17,7.92,3.99,15.19,21.02,37.53,82.94,0.45,6.62,19.25,0.34,13.97,19.29,0.73,-5.46
2014-2015,Mavericks,105.39,22.52,31.95,10.67,42.62,8.03,4.51,13.32,20.97,39.55,85.78,0.46,8.94,25.68,0.35,17.36,23.22,0.75,2.54
2014-2015,Nets,98.03,21.03,32.38,10.28,42.66,7.13,4.17,14.19,19.44,37.22,82.77,0.45,6.77,20.31,0.33,16.83,22.62,0.75,-2.62
2014-2015,Nuggets,101.11,21.63,32.36,12.36,44.71,7.81,4.49,14.54,23.39,37.58,86.68,0.44,7.83,24.1,0.33,18.12,24.86,0.73,-3.2
2014-2015,Pacers,97.11,21.31,34.35,10.2,44.55,6.25,4.67,14.18,21.29,36.31,82.72,0.44,7.45,21.24,0.35,17.03,22.55,0.76,0.18
2014-2015,Pelicans,99.32,21.95,32.12,11.43,43.55,6.89,6.19,13.51,19.3,37.67,82.63,0.46,7.25,19.73,0.37,16.74,22.19,0.75,1.01
2014-2015,Pistons,98.6,21.88,32.28,12.61,44.89,7.73,4.67,13.65,19.4,36.97,85.48,0.43,8.56,24.88,0.34,16.1,23.0,0.7,-0.32
2014-2015,Raptors,103.2,20.51,30.78,10.48,41.27,7.61,4.16,13.14,21.4,37.63,83.01,0.45,8.68,24.85,0.35,19.26,24.75,0.78,2.75
2014-2015,Rockets,104.1,21.77,32.39,11.67,44.07,9.44,4.96,16.64,22.6,36.76,83.19,0.44,10.97,31.58,0.35,19.62,28.06,0.7,2.42
2014-2015,Spurs,103.01,24.35,33.78,9.9,43.68,7.82,5.3,14.24,19.86,38.8,83.28,0.47,8.34,22.91,0.36,17.07,22.1,0.77,4.95
2014-2015,Suns,102.62,20.18,32.36,10.8,43.16,8.65,4.62,15.33,21.58,38.66,85.64,0.45,8.55,25.14,0.34,16.76,22.07,0.76,-0.34
2014-2015,Thunder,103.61,20.39,34.29,12.82,47.11,7.37,5.52,14.94,22.81,38.53,86.46,0.45,7.63,22.69,0.33,18.92,25.17,0.74,1.12
2014-2015,Timberwolves,98.45,21.78,29.53,11.65,41.18,8.46,3.98,14.98,19.45,36.64,83.43,0.44,5.01,14.92,0.33,20.16,25.97,0.77,-7.3
2014-2015,Trail Blazers,101.86,21.63,35.09,10.65,45.73,6.42,4.6,13.89,18.71,38.15,85.31,0.45,9.68,26.82,0.36,15.88,19.77,0.8,3.39
2014-2015,Warriors,108.76,26.92,34.13,10.45,44.58,9.07,5.96,14.85,20.69,40.82,85.84,0.48,10.83,27.56,0.39,16.29,21.7,0.75,9.73
2014-2015,Wizards,98.15,23.56,34.17,10.47,44.65,7.4,4.66,15.27,20.88,37.73,82.31,0.46,6.29,17.31,0.36,16.4,22.22,0.74,1.03
2015-2016,76ers,97.27,21.29,32.06,9.62,41.67,8.52,6.0,16.79,22.0,35.93,83.85,0.43,9.27,27.75,0.33,16.13,23.29,0.7,-10.0
2015-2016,Bucks,99.2,22.95,31.5,10.47,41.97,8.14,5.8,15.41,21.2,38.26,82.12,0.47,5.45,15.93,0.34,17.23,23.12,0.74,-4.12
2015-2016,Bulls,101.62,22.63,35.42,11.37,46.79,6.13,5.54,13.99,19.37,38.44,87.58,0.44,8.14,22.03,0.37,16.59,21.21,0.78,-1.19
2015-2016,Cavaliers,103.78,22.39,33.53,10.45,43.97,6.96,3.89,13.66,20.56,38.24,83.23,0.46,10.98,29.77,0.37,16.33,21.93,0.75,5.97
2015-2016,Celtics,104.59,23.97,33.76,11.57,45.33,8.96,4.52,14.02,22.01,38.81,89.17,0.44,8.74,26.37,0.33,18.24,23.34,0.78,2.76
2015-2016,Clippers,103.67,22.61,33.37,8.83,42.2,8.68,5.48,13.18,21.51,38.11,82.54,0.46,9.37,26.09,0.36,18.09,26.3,0.7,3.52
2015-2016,Grizzlies,97.55,20.34,30.67,11.26,41.93,8.74,4.21,13.76,21.83,36.23,83.11,0.44,6.05,18.43,0.33,19.04,24.48,0.78,-2.5
2015-2016,Hawks,101.88,24.92,34.31,8.29,42.61,8.88,6.09,15.09,19.34,37.98,84.03,0.45,9.9,28.48,0.35,16.02,20.38,0.78,2.84
2015-2016,Heat,99.32,20.19,34.55,9.82,44.37,6.61,6.28,14.11,18.87,37.86,81.55,0.47,6.22,18.54,0.34,17.38,23.31,0.75,1.72
2015-2016,Hornets,102.08,20.9,35.08,8.69,43.77,7.12,5.0,12.42,18.12,36.37,83.73,0.43,10.18,28.3,0.36,19.16,24.25,0.8,2.46
2015-2016,Jazz,97.69,18.82,32.66,10.65,43.31,7.91,5.17,15.03,20.4,35.89,80.29,0.45,8.3,23.56,0.35,17.61,23.83,0.74,2.23
2015-2016,Kings,106.25,24.26,33.74,10.64,44.38,8.99,4.56,16.28,20.36,39.76,86.07,0.46,8.01,22.66,0.36,18.72,25.84,0.72,-2.05
2015-2016,Knicks,98.31,20.63,34.17,10.33,44.51,5.83,5.76,13.52,19.97,36.86,84.16,0.44,7.46,21.49,0.34,17.13,21.32,0.81,-2.52
2015-2016,Lakers,97.19,18.0,32.09,10.71,42.8,7.29,4.15,13.73,20.71,34.97,84.42,0.42,7.73,24.42,0.32,19.53,25.15,0.77,-9.18
2015-2016,Magic,101.97,23.6,33.11,10.47,43.58,8.27,5.04,14.24,21.29,39.36,86.9,0.45,7.89,22.47,0.35,15.36,20.31,0.76,-1.12
2015-2016,Mavericks,100.88,21.84,33.64,9.14,42.78,6.85,3.76,13.06,19.77,36.88,83.9,0.44,9.37,28.07,0.33,17.74,22.53,0.79,-1.82
2015-2016,Nets,98.61,22.21,31.93,10.39,42.32,7.7,4.07,15.01,18.26,37.94,84.1,0.45,6.55,18.6,0.35,16.17,21.23,0.76,-6.77
2015-2016,Nuggets,101.74,22.51,33.38,11.51,44.89,7.56,4.67,14.85,21.22,37.64,85.33,0.44,7.98,23.65,0.34,18.48,24.27,0.76,-2.36
2015-2016,Pacers,101.56,20.82,33.8,10.39,44.19,8.9,5.04,14.67,20.19,37.78,84.36,0.45,8.03,23.03,0.35,17.97,23.43,0.77,2.4
2015-2016,Pelicans,102.78,21.72,33.25,9.56,42.81,7.83,4.19,13.55,21.2,38.09,85.82,0.44,8.63,24.03,0.36,17.97,23.17,0.78,-3.79
2015-2016,Pistons,101.76,19.82,33.61,12.06,45.67,7.02,3.72,13.57,19.14,37.84,85.69,0.44,9.07,26.1,0.35,17.0,25.16,0.69,0.74
2015-2016,Raptors,100.49,18.06,32.52,10.36,42.88,7.78,5.04,13.2,20.3,36.0,81.23,0.44,8.19,23.11,0.35,20.29,26.43,0.77,3.21
2015-2016,Rockets,105.81,22.0,32.0,11.87,43.87,10.03,5.11,16.18,22.49,37.54,84.29,0.45,10.54,31.07,0.34,20.2,29.26,0.7,-0.66
2015-2016,Spurs,102.79,23.92,34.18,9.19,43.38,8.45,5.94,13.14,17.8,39.59,82.6,0.48,7.07,18.68,0.38,16.53,20.68,0.81,9.71
2015-2016,Suns,100.99,20.94,33.4,11.49,44.89,7.98,3.88,17.25,22.9,37.31,85.86,0.44,9.05,25.92,0.35,17.33,23.14,0.74,-5.59
2015-2016,Thunder,109.3,22.58,35.33,12.89,48.22,7.38,5.84,15.73,20.74,40.62,85.88,0.47,8.31,23.99,0.35,19.75,25.37,0.78,7.0
2015-2016,Timberwolves,101.84,23.2,31.1,9.96,41.06,8.02,4.49,15.16,20.79,37.29,80.84,0.46,5.7,16.67,0.34,21.56,27.26,0.79,-3.88
2015-2016,Trail Blazers,105.05,21.32,34.2,11.72,45.92,6.9,4.56,14.75,22.13,38.42,86.34,0.45,10.7,28.91,0.37,17.51,23.33,0.75,0.53
2015-2016,Warriors,112.65,27.65,35.32,10.01,45.33,8.31,5.97,15.07,21.36,41.37,86.4,0.48,12.77,31.29,0.41,17.13,22.85,0.75,8.65
2015-2016,Wizards,104.39,24.59,32.95,9.12,42.08,8.66,4.01,14.6,20.98,39.52,85.89,0.46,8.59,24.19,0.36,16.75,22.81,0.74,0.02
2016-2017,76ers,101.97,23.38,33.17,9.88,43.04,8.42,5.17,16.97,22.1,37.31,85.03,0.44,9.89,29.54,0.33,17.45,22.56,0.77,-6.09
2016-2017,Bucks,102.07,23.68,31.52,8.93,40.45,8.16,5.27,14.14,20.33,38.13,81.52,0.47,8.64,23.39,0.37,17.18,22.53,0.76,-0.39
2016-2017,Bulls,102.57,22.54,34.37,12.14,46.51,7.74,5.01,13.95,18.16,38.44,86.69,0.44,7.57,22.55,0.33,18.12,22.64,0.8,0.36
2016-2017,Cavaliers,110.86,22.67,34.08,9.09,43.17,6.82,4.11,13.68,18.53,39.92,84.42,0.47,13.02,33.5,0.39,18.01,23.92,0.75,3.79
2016-2017,Celtics,107.35,25.36,32.24,9.12,41.36,7.71,4.16,13.6,20.78,38.6,84.91,0.46,12.01,33.35,0.36,18.14,22.78,0.8,1.92
2016-2017,Clippers,106.81,22.17,33.56,8.74,42.29,7.42,4.04,13.26,20.15,38.84,82.28,0.47,9.95,26.96,0.37,19.18,25.77,0.75,2.96
2016-2017,Grizzlies,100.65,21.04,31.73,10.55,42.29,8.03,4.12,12.93,22.65,36.26,83.3,0.44,9.38,26.48,0.35,18.76,24.07,0.78,0.23
2016-2017,Hawks,102.93,23.75,34.25,10.33,44.58,8.0,4.81,15.84,18.66,37.99,84.4,0.45,8.73,25.89,0.34,18.22,24.91,0.73,-0.38
2016-2017,Heat,103.29,21.32,33.3,10.42,43.72,7.29,5.79,13.67,20.71,39.06,85.56,0.46,9.89,27.07,0.36,15.29,21.79,0.71,1.47
2016-2017,Hornets,103.85,22.74,34.96,8.91,43.87,6.98,4.78,11.82,16.7,37.28,85.27,0.44,9.73,28.38,0.34,19.56,24.11,0.81,-0.39
2016-2017,Jazz,100.33,19.98,33.71,9.07,42.79,6.92,4.83,13.69,19.47,36.69,79.09,0.47,9.44,25.62,0.37,17.5,23.52,0.74,3.05
2016-2017,Kings,102.75,22.56,32.4,8.68,41.08,7.89,3.93,15.06,20.53,37.79,81.85,0.46,8.98,23.76,0.38,18.18,23.44,0.77,-3.6
2016-2017,Knicks,104.65,22.07,32.98,12.06,45.03,7.42,5.47,14.17,20.6,39.69,88.55,0.45,8.67,24.82,0.35,16.59,21.18,0.78,-3.3
2016-2017,Lakers,104.63,21.1,32.2,11.25,43.45,8.38,3.91,15.35,21.13,39.25,87.36,0.45,9.0,26.1,0.34,17.12,23.03,0.75,-6.42
2016-2017,Magic,100.89,22.04,33.42,9.85,43.27,7.13,4.81,13.76,19.55,38.07,86.64,0.44,8.57,25.88,0.33,16.18,21.73,0.75,-6.64
2016-2017,Mavericks,97.61,20.71,30.87,8.19,39.06,7.44,3.82,12.11,19.42,36.08,82.57,0.44,10.54,29.92,0.35,14.91,18.69,0.79,-2.97
2016-2017,Nets,105.44,21.43,34.9,8.68,43.58,7.38,4.51,16.64,21.15,37.57,84.97,0.44,10.78,31.74,0.34,19.52,24.88,0.78,-6.97
2016-2017,Nuggets,111.02,25.04,34.95,11.9,46.85,7.01,3.91,15.26,19.36,40.76,87.47,0.47,10.32,28.47,0.36,19.19,24.99,0.77,0.57
2016-2017,Pacers,105.39,22.6,32.98,9.27,42.25,8.24,4.92,13.74,19.87,39.47,85.03,0.47,8.75,23.26,0.37,17.71,22.05,0.8,0.22
2016-2017,Pelicans,104.42,22.94,35.3,8.49,43.78,7.69,5.44,13.07,18.65,39.07,86.77,0.45,9.31,26.52,0.35,16.98,22.59,0.75,-1.85
2016-2017,Pistons,100.84,21.12,34.59,11.01,45.6,7.08,3.75,12.2,18.0,39.6,88.26,0.45,7.62,23.23,0.33,14.01,19.44,0.72,-0.49
2016-2017,Raptors,105.45,18.51,32.55,10.26,42.81,8.39,4.84,12.9,20.92,38.63,83.82,0.46,8.63,24.07,0.36,19.55,24.57,0.8,3.14
2016-2017,Rockets,114.57,24.49,33.7,10.89,44.59,8.06,4.38,15.08,20.31,40.0,87.2,0.46,14.09,39.92,0.35,20.47,26.62,0.77,5.27
2016-2017,Spurs,105.12,23.37,33.63,10.36,43.99,8.12,5.68,13.62,18.51,39.21,84.09,0.47,9.03,23.48,0.39,17.67,22.23,0.79,6.06
2016-2017,Suns,107.41,19.45,33.09,12.03,45.12,8.42,4.89,15.65,24.98,39.64,88.51,0.45,7.41,22.4,0.33,20.73,26.85,0.77,-5.19
2016-2017,Thunder,106.31,20.96,34.38,12.19,46.57,7.91,5.13,15.07,21.31,39.38,87.37,0.45,8.48,25.75,0.33,19.05,25.7,0.74,0.79
2016-2017,Timberwolves,105.22,23.29,31.4,11.46,42.86,8.13,4.67,14.37,20.11,39.09,84.44,0.46,7.33,21.11,0.35,19.71,24.7,0.8,-0.19
2016-2017,Trail Blazers,107.28,20.84,33.95,10.12,44.07,6.96,4.84,13.99,21.38,39.21,86.16,0.46,10.39,27.87,0.37,18.48,23.71,0.78,-1.12
2016-2017,Warriors,116.09,29.67,35.42,9.42,44.84,9.54,6.68,14.81,20.0,42.75,86.93,0.49,12.14,31.73,0.39,18.46,23.34,0.79,12.38
2016-2017,Wizards,108.82,23.7,32.55,10.41,42.96,8.63,4.34,14.15,21.54,41.14,87.26,0.47,9.0,24.89,0.36,17.55,22.49,0.78,2.19
2017-2018,76ers,109.6,26.81,36.68,10.94,47.62,8.33,5.08,16.39,22.33,40.53,86.79,0.47,10.92,29.82,0.36,17.63,23.53,0.75,4.45
2017-2018,Bucks,105.83,23.28,31.62,8.13,39.75,8.59,5.48,13.97,21.45,39.54,82.54,0.48,8.91,24.99,0.36,17.84,22.95,0.78,-0.39
2017-2018,Bulls,103.07,23.67,35.19,9.47,44.66,7.66,3.65,14.26,19.69,38.69,88.67,0.44,11.12,31.17,0.35,14.57,19.27,0.75,-6.56
2017-2018,Cavaliers,108.37,22.56,33.31,8.73,42.05,6.93,3.93,13.84,18.92,39.5,84.11,0.47,11.5,31.63,0.36,17.85,23.15,0.77,0.24
2017-2018,Celtics,103.66,22.21,34.88,9.36,44.24,7.39,4.52,13.56,20.12,38.0,85.21,0.45,11.31,30.61,0.37,16.36,21.27,0.77,3.49
2017-2018,Clippers,108.76,22.41,33.72,9.95,43.68,7.78,4.43,15.09,20.25,40.01,85.02,0.47,9.46,26.71,0.35,19.28,25.98,0.74,0.41
2017-2018,Grizzlies,99.61,21.6,31.45,9.51,40.95,7.59,4.9,15.13,23.13,36.83,82.94,0.44,9.1,26.03,0.35,16.85,21.56,0.78,-5.13
2017-2018,Hawks,102.93,23.67,32.9,9.0,41.9,7.79,4.17,15.75,19.51,37.9,85.34,0.45,11.13,31.03,0.36,16.01,20.45,0.79,-5.1
2017-2018,Heat,103.11,22.62,34.14,9.37,43.51,7.72,5.44,14.78,20.74,38.52,85.23,0.45,10.85,30.45,0.35,15.21,20.53,0.74,-0.34
2017-2018,Hornets,107.84,21.48,35.58,10.01,45.6,6.81,4.55,13.0,17.35,38.85,86.58,0.45,10.06,27.51,0.36,20.08,27.07,0.74,0.25
2017-2018,Jazz,104.2,22.2,34.33,9.17,43.5,8.64,5.08,14.9,19.95,38.32,83.09,0.46,10.76,29.56,0.36,16.79,21.88,0.77,3.79
2017-2018,Kings,98.27,21.42,31.33,9.42,40.75,7.77,4.06,13.95,20.09,38.51,85.85,0.45,8.94,23.8,0.38,12.31,16.7,0.74,-7.17
2017-2018,Knicks,104.07,23.08,33.51,10.39,43.9,6.9,5.05,15.06,20.68,40.38,87.54,0.46,8.24,23.39,0.35,15.07,19.16,0.79,-3.8
2017-2018,Lakers,107.56,23.84,35.68,10.44,46.12,7.94,4.66,16.11,21.47,40.5,87.91,0.46,9.83,28.75,0.34,16.73,23.43,0.72,-1.36
2017-2018,Magic,103.1,23.5,33.08,8.83,41.91,7.62,5.02,14.65,19.43,38.77,85.98,0.45,10.22,29.35,0.34,15.34,20.38,0.76,-4.14
2017-2018,Mavericks,102.34,22.66,33.4,8.19,41.59,7.2,3.81,12.59,19.19,38.1,85.85,0.45,11.95,33.1,0.36,14.18,18.77,0.76,-2.29
2017-2018,Nets,106.91,23.58,35.0,9.66,44.66,6.41,4.76,15.38,20.84,38.34,86.81,0.44,12.72,35.52,0.36,17.51,22.76,0.78,-3.08
2017-2018,Nuggets,109.94,25.13,33.46,10.97,44.43,7.77,4.92,15.16,18.85,40.57,86.66,0.47,11.51,30.94,0.37,17.29,22.55,0.77,1.77
2017-2018,Pacers,105.08,22.16,32.72,9.4,42.12,8.79,4.08,13.3,18.98,40.6,85.83,0.47,9.07,24.66,0.37,14.82,19.18,0.77,1.79
2017-2018,Pelicans,111.21,26.5,35.77,8.54,44.31,8.0,5.82,15.03,19.35,42.41,88.26,0.48,10.15,28.2,0.36,16.25,21.01,0.77,0.71
2017-2018,Pistons,103.75,22.83,33.62,10.2,43.82,7.62,3.82,13.45,18.4,39.2,86.97,0.45,10.68,28.64,0.37,14.68,19.74,0.74,0.39
2017-2018,Raptors,111.2,23.92,33.85,9.67,43.52,7.57,6.05,13.77,22.06,40.77,86.55,0.47,11.69,32.81,0.36,17.98,22.64,0.79,6.57
2017-2018,Rockets,110.83,21.13,34.39,8.93,43.32,8.46,4.88,13.75,19.5,38.29,84.23,0.46,15.14,42.19,0.36,19.12,24.5,0.78,7.36
2017-2018,Spurs,102.66,22.77,33.73,10.14,43.87,7.69,5.45,13.35,17.57,38.89,85.01,0.46,8.58,24.42,0.35,16.29,20.96,0.78,2.51
2017-2018,Suns,104.0,21.12,34.0,10.13,44.13,7.02,4.6,15.97,22.05,38.22,86.69,0.44,9.38,27.94,0.34,18.16,24.47,0.74,-8.89
2017-2018,Thunder,107.1,20.99,32.97,12.14,45.11,8.95,4.98,14.21,20.4,39.56,87.7,0.45,10.77,30.33,0.35,17.21,23.97,0.71,2.95
2017-2018,Timberwolves,109.14,22.62,31.88,10.26,42.13,8.22,4.1,12.69,18.22,40.76,85.9,0.48,8.16,22.6,0.36,19.48,24.33,0.8,1.41
2017-2018,Trail Blazers,105.97,19.54,35.28,10.3,45.59,7.09,5.01,13.79,20.16,39.36,87.32,0.45,10.4,28.33,0.37,16.85,21.12,0.8,2.32
2017-2018,Warriors,112.96,28.74,35.13,8.65,43.79,7.97,7.14,15.0,19.73,42.55,85.43,0.5,11.36,29.5,0.38,16.5,20.34,0.81,7.03
2017-2018,Wizards,106.7,24.96,32.93,9.9,42.84,7.91,4.33,14.66,21.17,39.95,85.51,0.47,9.77,26.29,0.37,17.03,21.96,0.78,0.58
