Indiana-San Antonio,2020082
New Orleans-Memphis,635443
Portland-Charlotte,4441425
Cleveland-Philadelphia,694882
Washington-Los Angeles,4295489
Chicago-Golden State,3443745
Boston-Los Angeles,4799261
Dallas-Oklahoma City,331965
Portland-Orlando,4885558
San Antonio-Indiana,2017428
Cleveland-Houston,2089312
Charlotte-Memphis,1025952
Utah-Oklahoma City,1911040
Phoenix-Brooklyn,3909255
Minnesota-Dallas,1765077
Philadelphia-Denver,2778659
Portland-Miami,5249022
Orlando-Toronto,2058809
Utah-New Orleans,2812563
Boston-Golden State,4999501
Phoenix-Cleveland,3241663
Detroit-Houston,2095941
Dallas-Charlotte,1653166
Chicago-Portland,3411198
Washington-Sacramento,4384801
Brooklyn-Oklahoma City,2336260
Denver-Orlando,2962534
San Antonio-Miami,2227686
Houston-Portland,3623645
Cleveland-Minnesota,1476383
Washington-Golden State,4495730
Atlanta-Boston,1731845
Philadelphia-Indiana,1063629
Phoenix-Detroit,3193929
Brooklyn-Los Angeles,4472840
Memphis-San Antonio,1168066
Oklahoma City-Dallas,332720
Denver-Miami,3325999
Toronto-Milwaukee,996168
Charlotte-Chicago,1216951
Minnesota-New York,2194996
Houston-Sacramento,3105097
Cleveland-Oklahoma City,1697711
Indiana-Detroit,339164
Phoenix-Washington,3700775
Miami-Los Angeles,4405764
Houston-Denver,1659941
Charlotte-Utah,3279737
Atlanta-Chicago,1154434
New York-Philadelphia,152099
Brooklyn-Portland,4663654
Denver-Dallas,1284000
New Orleans-Chicago,1489778
Sacramento-Milwaukee,3362591
Phoenix-Atlanta,2905091
Oklahoma City-Philadelphia,2225807
Memphis-Houston,914408
Golden State-Toronto,4258438
Minnesota-Washington,2044896
Charlotte-Phoenix,3314294
Brooklyn-Utah,3501465
New Orleans-Boston,2452517
Philadelphia-Orlando,1599743
Oklahoma City-Washington,2160125
Sacramento-Chicago,3295967
Milwaukee-New York,1432942
Miami-Portland,5255632
Memphis-Minnesota,1585956
Toronto-Detroit,371139
Brooklyn-Denver,2865296
Sacramento-Boston,4851126
Oklahoma City-New York,2333885
Golden State-Indiana,3658946
